"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"clock","clock","/usr/local/lib/R/site-library","0.7.3",NA,"R (>= 4.0.0)","cli (>= 3.6.4), lifecycle (>= 1.0.4), rlang (>= 1.1.5), tzdb
(>= 0.5.0), vctrs (>= 0.6.5)","cpp11 (>= 0.5.2), tzdb (>= 0.5.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.2),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"clue","clue","/usr/local/lib/R/site-library","0.3-66",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"coda","coda","/usr/local/lib/R/site-library","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"colorspace","colorspace","/usr/local/lib/R/site-library","2.1-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"combinat","combinat","/usr/local/lib/R/site-library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.5.0"
"commonmark","commonmark","/usr/local/lib/R/site-library","2.0.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"ComplexHeatmap","ComplexHeatmap","/usr/local/lib/R/site-library","2.26.0",NA,"R (>= 4.0.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"conflicted","conflicted","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"corrplot","corrplot","/usr/local/lib/R/site-library","0.95",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"cowplot","cowplot","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.5.0)","ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"cpp11","cpp11","/usr/local/lib/R/site-library","0.5.2",NA,"R (>= 4.0.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"crayon","crayon","/usr/local/lib/R/site-library","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"credentials","credentials","/usr/local/lib/R/site-library","2.0.3",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"crosstalk","crosstalk","/usr/local/lib/R/site-library","1.2.2",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"bslib, ggplot2, sass, shiny, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"csaw","csaw","/usr/local/lib/R/site-library","1.44.0",NA,"R (>= 3.5.0), GenomicRanges (>= 1.61.1), SummarizedExperiment
(>= 1.39.1)","Rcpp, Matrix, BiocGenerics, Rsamtools, edgeR, limma, methods,
S4Vectors, IRanges, Seqinfo, stats, BiocParallel, metapod,
utils","Rhtslib, Rcpp","AnnotationDbi, org.Mm.eg.db,
TxDb.Mmusculus.UCSC.mm10.knownGene, testthat, GenomicFeatures,
GenomicAlignments, knitr, BiocStyle, rmarkdown, BiocManager",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"curl","curl","/usr/local/lib/R/site-library","7.0.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"data.table","data.table","/usr/local/lib/R/site-library","1.17.8",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"DBI","DBI","/usr/local/lib/R/site-library","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"dbplyr","dbplyr","/usr/local/lib/R/site-library","2.5.1",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.8), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"DDRTree","DDRTree","/usr/local/lib/R/site-library","0.1.5",NA,"irlba","Rcpp","Rcpp, RcppEigen, BH",NA,NA,"Artistic License 2.0",NA,NA,NA,NA,"yes","4.5.0"
"DelayedArray","DelayedArray","/usr/local/lib/R/site-library","0.36.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.53.3), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.47.6),
IRanges (>= 2.17.3), S4Arrays (>= 1.9.3), SparseArray (>=
1.7.5)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"DelayedMatrixStats","DelayedMatrixStats","/usr/local/lib/R/site-library","1.32.0",NA,"MatrixGenerics (>= 1.15.1), DelayedArray (>= 0.31.7)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10), SparseArray (>=
1.5.19)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"deldir","deldir","/usr/local/lib/R/site-library","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"DEoptimR","DEoptimR","/usr/local/lib/R/site-library","1.1-4",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"Deriv","Deriv","/usr/local/lib/R/site-library","4.2.0",NA,NA,"methods",NA,"testthat (>= 0.11.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"desc","desc","/usr/local/lib/R/site-library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"DESeq2","DESeq2","/usr/local/lib/R/site-library","1.50.2",NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, matrixStats,
methods, stats4, locfit, ggplot2 (>= 3.4.0), Rcpp (>= 0.11.0),
MatrixGenerics","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, glmGamPoi, BiocManager",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.5.1"
"devtools","devtools","/usr/local/lib/R/site-library","2.4.6",NA,"R (>= 4.1), usethis (>= 3.2.1)","cli (>= 3.6.5), desc (>= 1.4.3), ellipsis (>= 0.3.2), fs (>=
1.6.6), lifecycle (>= 1.0.4), memoise (>= 2.0.1), miniUI (>=
0.1.2), pkgbuild (>= 1.4.8), pkgdown (>= 2.1.3), pkgload (>=
1.4.1), profvis (>= 0.4.0), rcmdcheck (>= 1.4.0), remotes (>=
2.5.0), rlang (>= 1.1.6), roxygen2 (>= 7.3.3), rversions (>=
2.1.2), sessioninfo (>= 1.2.3), stats, testthat (>= 3.2.3),
tools, urlchecker (>= 1.0.1), utils, withr (>= 3.0.2)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"diagram","diagram","/usr/local/lib/R/site-library","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"dials","dials","/usr/local/lib/R/site-library","1.4.2",NA,"R (>= 4.1), scales (>= 1.3.0)","cli, DiceDesign, dplyr (>= 0.8.5), glue, hardhat (>= 1.1.0),
lifecycle, pillar, purrr, rlang (>= 1.1.0), sfd, tibble, utils,
vctrs (>= 0.3.8), withr",NA,"covr, ggplot2, kernlab, knitr, rmarkdown, rpart, testthat (>=
3.1.9), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"DiceDesign","DiceDesign","/usr/local/lib/R/site-library","1.10",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"dichromat","dichromat","/usr/local/lib/R/site-library","2.0-0.1",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"DiffBind","DiffBind","/usr/local/lib/R/site-library","3.20.0",NA,"R (>= 4.0), GenomicRanges, SummarizedExperiment","RColorBrewer, amap, gplots, grDevices, limma,
GenomicAlignments, locfit, stats, utils, IRanges, lattice,
systemPipeR, tools, Rcpp, dplyr, ggplot2, BiocParallel,
parallel, S4Vectors, Rsamtools (>= 2.13.1), DESeq2, methods,
graphics, ggrepel, apeglm, ashr, GreyListChIP","Rhtslib (>= 1.99.1), Rcpp","BiocStyle, testthat, xtable, rgl, XLConnect, edgeR, csaw,
BSgenome, GenomeInfoDb, profileplyr, rtracklayer, grid",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"diffobj","diffobj","/usr/local/lib/R/site-library","0.3.6",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"digest","digest","/usr/local/lib/R/site-library","0.6.37",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"diptest","diptest","/usr/local/lib/R/site-library","0.77-2",NA,NA,"graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"DirichletMultinomial","DirichletMultinomial","/usr/local/lib/R/site-library","1.52.0",NA,"S4Vectors, IRanges","stats4, methods, BiocGenerics",NA,"lattice, parallel, MASS, RColorBrewer, DT, knitr, rmarkdown,
BiocStyle",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.1"
"distributional","distributional","/usr/local/lib/R/site-library","0.5.0",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
utils, lifecycle, pillar",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), evd,
ggdist, ggplot2, gk",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"doBy","doBy","/usr/local/lib/R/site-library","4.7.0",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.5.2), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"docopt","docopt","/usr/local/lib/R/site-library","0.7.2",NA,NA,"methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"doParallel","doParallel","/usr/local/lib/R/site-library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.5.0"
"DOSE","DOSE","/usr/local/lib/R/site-library","4.4.0",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, fgsea, ggplot2, GOSemSim (>=
2.31.2), methods, qvalue, reshape2, stats, utils, yulab.utils
(>= 0.1.6)",NA,"prettydoc, clusterProfiler, gson (>= 0.0.5), knitr, memoise,
org.Hs.eg.db, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"dotCall64","dotCall64","/usr/local/lib/R/site-library","1.2",NA,"R (>= 4.0)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"downlit","downlit","/usr/local/lib/R/site-library","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"dplyr","dplyr","/usr/local/lib/R/site-library","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"dqrng","dqrng","/usr/local/lib/R/site-library","0.4.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.5.0"
"DropletUtils","DropletUtils","/usr/local/lib/R/site-library","1.30.0",NA,"SingleCellExperiment","utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
IRanges, GenomicRanges, SummarizedExperiment, BiocParallel,
SparseArray (>= 1.5.18), DelayedArray (>= 0.31.9),
DelayedMatrixStats, HDF5Array, rhdf5, edgeR, R.utils, dqrng,
beachmat, scuttle","Rcpp, beachmat, assorthead, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"DT","DT","/usr/local/lib/R/site-library","0.34.0",NA,NA,"crosstalk, htmltools (>= 0.3.6), htmlwidgets (>= 1.3),
jquerylib, jsonlite (>= 0.9.16), magrittr, promises",NA,"bslib, future, httpuv, knitr (>= 1.8), rmarkdown, shiny (>=
1.6), testit, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"e1071","e1071","/usr/local/lib/R/site-library","1.7-16",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"edgeR","edgeR","/usr/local/lib/R/site-library","4.8.2",NA,"R (>= 3.6.0), limma (>= 3.63.6)","methods, graphics, stats, utils, locfit",NA,"arrow, jsonlite, knitr, Matrix, readr, rhdf5, SeuratObject,
splines, AnnotationDbi, Biobase, BiocStyle, org.Hs.eg.db,
SummarizedExperiment",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.5.1"
"ellipsis","ellipsis","/usr/local/lib/R/site-library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"emdbook","emdbook","/usr/local/lib/R/site-library","1.3.14",NA,NA,"MASS, lattice, plyr, coda, bbmle",NA,"R2jags, ellipse, SuppDists, numDeriv, testthat, rgl",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"EnrichedHeatmap","EnrichedHeatmap","/usr/local/lib/R/site-library","1.40.0",NA,"R (>= 3.6.0), methods, grid, ComplexHeatmap (>= 2.11.0),
GenomicRanges","matrixStats, stats, GetoptLong, Rcpp, utils, locfit, circlize
(>= 0.4.5), IRanges","Rcpp","testthat (>= 0.3), knitr, markdown, rmarkdown, genefilter,
RColorBrewer",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"enrichplot","enrichplot","/usr/local/lib/R/site-library","1.30.4",NA,"R (>= 4.2.0)","aplot (>= 0.2.1), DOSE (>= 3.31.2), ggfun (>= 0.1.7),
ggnewscale, ggplot2 (>= 3.5.0), ggrepel (>= 0.9.0), ggtangle
(>= 0.0.9), graphics, grid, igraph, methods, plyr, purrr,
RColorBrewer, reshape2, rlang, stats, tidydr, utils,
scatterpie, GOSemSim (>= 2.31.2), ggtree, yulab.utils (>=
0.1.6)",NA,"clusterProfiler, dplyr, europepmc, ggarchery, ggupset, glue,
knitr, rmarkdown, org.Hs.eg.db, prettydoc, tibble, tidyr,
ggforce, ggHoriPlot, AnnotationDbi, ggplotify, ggridges,
grDevices, gridExtra, ggstar, scales, ggtreeExtra",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"EnsDb.Hsapiens.v86","EnsDb.Hsapiens.v86","/usr/local/lib/R/site-library","2.99.0",NA,"ensembldb",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"ensembldb","ensembldb","/usr/local/lib/R/site-library","2.34.0",NA,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.61.1), GenomicFeatures (>= 1.61.4), AnnotationFilter (>=
1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, Seqinfo, GenomeInfoDb
(>= 1.45.5), AnnotationDbi (>= 1.31.19), rtracklayer (>=
1.69.1), S4Vectors (>= 0.23.10), Rsamtools, IRanges (>=
2.13.24), ProtGenerics, Biostrings (>= 2.77.2), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), rmarkdown, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.5.1"
"etrunct","etrunct","/usr/local/lib/R/site-library","0.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"evaluate","evaluate","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 3.6.0)",NA,NA,"callr, covr, ggplot2 (>= 3.3.6), lattice, methods, pkgload,
ragg (>= 1.4.0), rlang (>= 1.1.5), knitr, testthat (>= 3.0.0),
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ExperimentHub","ExperimentHub","/usr/local/lib/R/site-library","3.0.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.99.3),
BiocFileCache (>= 2.99.3)","utils, S4Vectors, BiocManager, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub, GenomicAlignments","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"fansi","fansi","/usr/local/lib/R/site-library","1.0.6",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"farver","farver","/usr/local/lib/R/site-library","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"fastDummies","fastDummies","/usr/local/lib/R/site-library","1.7.5",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"fastICA","fastICA","/usr/local/lib/R/site-library","1.2-7",NA,"R (>= 4.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"fastmap","fastmap","/usr/local/lib/R/site-library","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"fastmatch","fastmatch","/usr/local/lib/R/site-library","1.1-6",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"fgsea","fgsea","/usr/local/lib/R/site-library","1.36.0",NA,"R (>= 4.1)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
cowplot, grid, fastmatch, Matrix, scales, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery, msigdbr, aggregation,
Seurat",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.5.1"
"filelock","filelock","/usr/local/lib/R/site-library","1.0.3",NA,"R (>= 3.4)",NA,NA,"callr (>= 2.0.0), covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"fitdistrplus","fitdistrplus","/usr/local/lib/R/site-library","1.2-4",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"flexmix","flexmix","/usr/local/lib/R/site-library","2.3-20",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"FNN","FNN","/usr/local/lib/R/site-library","1.1.4.1",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"fontawesome","fontawesome","/usr/local/lib/R/site-library","0.5.3",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), gt (>= 0.9.0), knitr (>= 1.31),
testthat (>= 3.0.0), rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"fontBitstreamVera","fontBitstreamVera","/usr/local/lib/R/site-library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.5.0"
"fontLiberation","fontLiberation","/usr/local/lib/R/site-library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.5.0"
"fontquiver","fontquiver","/usr/local/lib/R/site-library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"forcats","forcats","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 4.1)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"foreach","foreach","/usr/local/lib/R/site-library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.5.0"
"formatR","formatR","/usr/local/lib/R/site-library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"Formula","Formula","/usr/local/lib/R/site-library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.5.0"
"fpc","fpc","/usr/local/lib/R/site-library","2.2-13",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
